Stock,R_squared
A,0.5626158474053086
AAL,0.31991120973324105
AAPL,0.510272060759169
ABT,0.3117957880909834
ACGL,0.27741875374376046
ACN,0.5821694646137873
ADBE,0.5923926896169518
ADI,0.4673194150058305
ADM,0.260096516586525
ADP,0.42228166275711254
ADSK,0.5536991359949844
AEE,0.1800228169609731
AEP,0.12256198943641938
AFL,0.6323452935183079
AIG,0.23236214697658875
AIZ,0.36274826262977933
AJG,0.5102050482828664
AKAM,0.20913647578900652
ALB,0.38802859497229925
ALGN,0.43832476929359776
AMAT,0.5416349131960545
AMD,0.38848151100167694
AME,0.5652955769869716
AMGN,0.21805798549416489
AMP,0.738624928866147
AMT,0.19065875389169462
AMZN,0.5213634139350081
ANSS,0.6014464934213201
AON,0.47838911924090266
AOS,0.5436510226696454
APA,0.34103849594781854
APD,0.5042445869584278
APH,0.6339446557242283
ARE,0.37260158507304986
ATO,0.2615833999191295
AVB,0.4734500188257432
AVGO,0.28763603685614225
AVY,0.5419931920032692
AWK,0.19770526996513227
AXON,0.10286054763966468
AXP,0.5417691364497303
AZO,0.15386412701061025
BAC,0.615747032452098
BALL,0.302689959738054
BBWI,0.2618016722368822
BBY,0.2932855555474474
BDX,0.2809171385655772
BEN,0.6576206868961375
BG,0.26119545363925156
BIIB,0.10591284501448994
BK,0.48508395944804383
BKNG,0.320443009947054
BKR,0.3038206217848576
BLDR,0.3603884921581081
BLK,0.6997608460588012
BMY,0.19488179132697214
BR,0.33862104685767114
BRO,0.39395830804831766
BSX,0.24331653418869292
BWA,0.5490276318938727
BX,0.5510067791066027
BXP,0.4884985694372612
C,0.6497970433902471
CAG,0.2115197964434643
CAH,0.2783682009237929
CAT,0.6321802271744337
CB,0.5012270042152204
CBOE,0.08278571637826782
CBRE,0.6116912914809612
CCI,0.25949774879455
CDNS,0.4443223773384527
CE,0.5613235250538666
CF,0.20297546713297332
CHD,0.14833449869026327
CHRW,0.3231694995618387
CHTR,0.2719768767597446
CI,0.28172716548044807
CINF,0.3755521282823916
CL,0.26104704352069763
CLX,0.14424953872597757
CMA,0.5536753950513331
CMCSA,0.42956020866847133
CME,0.2763425099005674
CMG,0.265958432783324
CMI,0.6145655593214732
CMS,0.1112035707767901
CNC,0.21317641620612982
CNP,0.21073902881021545
COF,0.5960683062376755
COO,0.24408073436595012
COP,0.3621541154699035
COR,0.3017209786061855
COST,0.4832466787125971
CPB,0.11142040851367674
CPRT,0.3203111777197526
CPT,0.48056837197052227
CRL,0.41841459533195935
CRM,0.4345196850582266
CSCO,0.46499252008930547
CSGP,0.3648199694404861
CSX,0.5571998075058164
CTAS,0.49183335213418655
CTRA,0.24139156213689417
CTSH,0.3919986140203845
CVS,0.34580618462361346
CVX,0.4882695060414175
D,0.17281769428414373
DAL,0.38531200051248204
DD,0.5560799105261341
DE,0.5342894816098649
DFS,0.5725772593274023
DG,0.09834571448030571
DGX,0.27655345460310954
DHI,0.3063396595081037
DHR,0.5466368057633504
DIS,0.5392875200987135
DLR,0.2497324282076432
DLTR,0.12911688341385597
DOV,0.6809340593411184
DPZ,0.25555400101412673
DRI,0.21133911822354734
DTE,0.26903111999134366
DUK,0.09484390684886257
DVA,0.3560135084930689
DVN,0.3640589912359785
DXCM,0.12074353519205072
EA,0.21828979569481455
EBAY,0.4386504242381487
ECL,0.5186039659240302
ED,0.06744262294454706
EFX,0.5413566980830932
EG,0.22827568305570112
EIX,0.14883413482984398
EL,0.4381884262449446
ELV,0.2740490845546608
EMN,0.6727285280142161
EMR,0.6218051430431893
EOG,0.44530920902913496
EQIX,0.3860378991496215
EQR,0.4750998301737993
EQT,0.14856236344332252
ESS,0.4260878045303226
ETN,0.6208296103789055
ETR,0.19973604014588775
EVRG,0.17476062085419453
EW,0.2738000983793414
EXC,0.11870480461757438
EXPD,0.42995194047852014
EXPE,0.3045719468689331
EXR,0.35685641273434576
F,0.4207534004582366
FAST,0.4085307710660555
FCX,0.31856046705539565
FDS,0.4281394681914614
FDX,0.5569106326193785
FE,0.04730768750486014
FFIV,0.3866755587608275
FI,0.4472410740054328
FICO,0.48601103592448913
FITB,0.5377829662058785
FLT,0.37864552168859256
FMC,0.46105209070461306
FRT,0.47356406398849504
FSLR,0.16852310556393446
FTNT,0.3405585424968737
GD,0.4687260054853475
GE,0.5402691970627548
GEN,0.21497795369883532
GILD,0.1376044461310133
GIS,0.10507806341783144
GL,0.7482032334203951
GLW,0.45779894505173013
GM,0.43725173950268637
GNRC,0.2632633333506753
GOOG,0.4672950217957039
GOOGL,0.4653236683743993
GPC,0.5400142288617189
GPN,0.37342819226140955
GRMN,0.3520382264809937
GS,0.5433158624337604
GWW,0.40998518460937305
HAL,0.39982239387907026
HBAN,0.5679230757949417
HCA,0.36236364901813667
HD,0.47667800012685346
HES,0.2839901946044868
HIG,0.5848380342297661
HII,0.4173709974208164
HOLX,0.37221335132969435
HON,0.7115416175884062
HPQ,0.36247951631307296
HRL,0.10791528537913653
HSIC,0.3977269309174922
HST,0.5773180831825349
HSY,0.03654219776998735
HUBB,0.46011269101942853
HUM,0.2641257772880148
IBM,0.3171599134400517
ICE,0.3977249361341524
IDXX,0.46923647092122445
IEX,0.6670156493275956
IFF,0.34032151289870716
INCY,0.20065788659282924
INTC,0.3608539250441577
INTU,0.5108615990755744
IP,0.6276813115119608
IPG,0.4863856575957155
IRM,0.27800862180778996
ISRG,0.4004835661050894
IT,0.4782303419427991
ITW,0.6386263317510643
J,0.47502823551214757
JBHT,0.542577039689725
JBL,0.41118305950530953
JCI,0.47680581054566873
JKHY,0.42592127746526875
JNJ,0.3790228960826795
JNPR,0.41517862478437983
JPM,0.6530320210749532
K,0.18349194576103234
KDP,0.26106500584324455
KEY,0.32888654799899286
KIM,0.3927184720902174
KLAC,0.5071752655515309
KMB,0.156653645381164
KMI,0.2881214403821196
KMX,0.31386995065314605
KO,0.33814955956129145
KR,0.14305495172209137
L,0.6463612167450294
LDOS,0.2293053062422774
LEN,0.47470756847080364
LH,0.43346247282137806
LHX,0.2756195064423689
LIN,0.5328159841248856
LKQ,0.3780527638801924
LLY,0.19494973812151417
LMT,0.35692348128571594
LNT,0.19491085075940828
LOW,0.465826595009586
LRCX,0.4736646559663017
LULU,0.34705653633190225
LUV,0.47319841714103905
LVS,0.4909951984309815
LYB,0.5542653372687734
LYV,0.36254728300934314
MA,0.4384566682029666
MAA,0.4197950110212052
MAR,0.5926388147918604
MAS,0.6283298955562753
MCD,0.3100488915348866
MCHP,0.5045036216731609
MCK,0.19901506712556205
MCO,0.49118247144996685
MDLZ,0.304742429176574
MDT,0.3780307254736589
MET,0.7195668650694682
MGM,0.3628928184548361
MKC,0.16052904471946117
MKTX,0.198315259188228
MLM,0.3239477378459964
MMC,0.5714295365492603
MNST,0.23903513666658838
MO,0.14094306670555157
MOH,0.21599613293555908
MOS,0.25867732626983453
MPC,0.4533603484142765
MPWR,0.3945535935942662
MRK,0.30623193387262304
MRO,0.3596503848635687
MS,0.4295306287083229
MSCI,0.5225805033738828
MSFT,0.5973573817297247
MSI,0.33808395120732937
MTB,0.47605669438364895
MTCH,0.23233410217678352
MTD,0.5771955181925876
NDAQ,0.3494990731480272
NDSN,0.5615005365042616
NEE,0.1869329489639786
NFLX,0.17365103640801005
NI,0.23885515317717043
NKE,0.37864895791520037
NOC,0.27532490339990745
NSC,0.5321076075364041
NTAP,0.42547297928870764
NTRS,0.39819169248377195
NUE,0.46262881665944866
NVDA,0.41023587116805993
NVR,0.3619955037075556
NXPI,0.40299562872251504
O,0.31960751588322545
ODFL,0.45042665386541203
OKE,0.34104704903261385
OMC,0.45760528946878865
ON,0.41346194807661873
ORLY,0.20426291960461884
OXY,0.2524417433614575
PAYX,0.5614498761310508
PCAR,0.5855914947853607
PCG,0.027423820735117843
PEAK,0.3320592823509112
PEG,0.13080347031899975
PEP,0.29882265208357417
PFE,0.3598471820114747
PFG,0.5358485307259255
PG,0.253391613040699
PGR,0.3232320291469234
PH,0.6259832591664463
PHM,0.3076333165501841
PKG,0.5850442989853502
PLD,0.6584756419942979
PM,0.37210059618402536
PNC,0.5857899808385489
PNR,0.48652544303154677
PNW,0.1630900082443949
PODD,0.1914685141400695
POOL,0.3981589406993876
PPG,0.6571264498493274
PPL,0.2517557187350612
PRU,0.6686360677974351
PSA,0.3619296948286531
PTC,0.5123117868434859
PWR,0.2897305324051368
PXD,0.42533109179480344
QCOM,0.31484623865252626
RCL,0.549915092517403
REG,0.5002055705941432
REGN,0.07140409291725625
RF,0.4621487318741595
RHI,0.5380290118839235
RJF,0.4665312538002091
RL,0.4240908134679163
RMD,0.19111125316985655
ROK,0.5843736669965671
ROL,0.21978838363795306
ROP,0.5397920235460172
ROST,0.2894844817576214
RSG,0.2743626425663991
RTX,0.504780270333113
RVTY,0.45097993363586875
SBAC,0.19058477280303898
SBUX,0.38718465716223993
SCHW,0.40516894850618423
SHW,0.4300913445886577
SJM,0.08800828121637427
SLB,0.47845245014876936
SNA,0.5988435702386796
SNPS,0.5454068598830826
SO,0.11798007993714388
SPG,0.44853980105772995
SPGI,0.48144677212995246
SRE,0.22984171740975068
STE,0.3462600004324653
STLD,0.5286837445640244
STT,0.5412855126544698
STZ,0.17498502916134318
SWKS,0.26579638130477945
SYK,0.42199351330283996
SYY,0.3562716414565261
T,0.2617631593576789
TAP,0.27432494414587527
TDG,0.40525964953522275
TDY,0.5955280770522549
TECH,0.4941791300627134
TEL,0.6364782166217424
TER,0.46716163852370995
TFX,0.348376374458762
TGT,0.25010643142957156
TJX,0.32395526800302743
TMO,0.3745000602582601
TMUS,0.09638938361881444
TPR,0.3406637379175763
TRGP,0.3031503852577544
TRMB,0.6127209970409879
TROW,0.7008697183482937
TRV,0.44127910422683914
TSCO,0.3673457567088123
TSLA,0.233757159970038
TT,0.516228222404689
TXN,0.5483774661634315
TXT,0.6279931464198732
TYL,0.3528958331269021
UAL,0.2268037321402937
UDR,0.45853584407042025
UHS,0.48101483684788593
ULTA,0.27927901797879995
UNH,0.3473998189998059
UNP,0.5892840519363033
UPS,0.5604517680012451
URI,0.5434770640906099
USB,0.566736700854482
V,0.4424105686452544
VLO,0.3537143341696569
VMC,0.3615831952416725
VRSK,0.3142476472861184
VRSN,0.3802992108206871
VRTX,0.08717826805909579
VTRS,0.2601029591981968
VZ,0.20169076806007558
WAB,0.5842015165477459
WAT,0.44110005852558876
WBA,0.3037149614240857
WEC,0.0753226575915058
WELL,0.31403974048293215
WFC,0.6254980526409211
WHR,0.5596366361807996
WM,0.32907017290556606
WMB,0.39681314641863863
WMT,0.17388116095311357
WRB,0.43357484536997504
WST,0.40580265810455485
WTW,0.33972273437311507
WY,0.5898996324672641
WYNN,0.48612075735014226
XEL,0.09765717525795936
XOM,0.37085245889867
YUM,0.34858829698559146
ZBH,0.3995373808812275
ZBRA,0.4843257934227534
ZION,0.5418911801952567
