"","Date","profit"
"1","2009-10-31",1056.1666259773
"2","2010-01-31",-4629.9933741205
"3","2010-04-30",1023.54207857658
"4","2010-05-31",-7633.26374824649
"5","2010-07-31",6375.5361674622
"6","2010-08-31",-5201.04028724711
"7","2011-01-31",1032.01250705021
"8","2011-06-30",600.545252365549
"9","2011-07-31",-2517.50708092316
"10","2011-08-31",-4128.51588884047
"11","2013-04-30",2595.12709317979
"12","2013-08-31",-3371.39794821853
"13","2013-09-30",2847.71718783602
"14","2014-01-31",-1326.31099745865
"15","2014-07-31",-1852.38249842082
"16","2015-04-30",1331.58446025775
"17","2015-07-31",1667.30195804881
"18","2016-02-29",-432.951326970693
"19","2016-12-31",2227.50220006656
"20","2017-03-31",-748.540221604417
"21","2017-06-30",-538.294696339667
"22","2017-10-31",2197.20024398232
"23","2018-08-31",3290.03519233879
"24","2019-12-31",3442.55195212021
"25","2020-01-31",-14.6143455605202
"26","2020-03-31",-13149.7704774282
"27","2020-04-30",15865.6293442411
"28","2020-08-31",6405.18962613084
"29","2021-02-28",340.099992805939
"30","2021-10-31",5442.22667551013
"31","2022-01-31",-5287.53934686372
"32","2022-03-31",4765.93647258922
"33","2022-06-30",-6309.37716203753
"34","2022-10-31",4351.53986851572
"35","2023-07-31",2568.58869239448
"36","2023-09-30",-4081.50866635924
